rank,drug,pert_id,best_score,mean_score,n_hits,cells,known
1,Mevastatin,BRD-K94441233,0.125,0.125,1,HA1E,
2,vorinostat,BRD-K81418486,0.125,0.125,6,A549;HA1E;HCC515;OV7,vorinostat · HDAC抑制剂(神经保护)
3,PALDA,BRD-K21064560,0.125,0.125,1,HA1E,
4,PUROMYCIN HYDROCHLORIDE,BRD-A28970875,0.125,0.125,1,HCC515,
5,Hinokitiol,BRD-K37691127,0.125,0.125,1,HA1E,
6,APIGENIN TRIACETATE,BRD-K12057390,0.125,0.125,1,HA1E,
7,ROSUVASTATIN CALCIUM,BRD-K82941592,0.125,0.125,1,HA1E,
8,TG101348,BRD-K12502280,0.125,0.125,1,A549,
9,Tyrphostin AG 1478,BRD-K68336408,0.125,0.125,1,HA1E,
10,Chemistry 2804,BRD-K74402642,0.125,0.125,1,HCC515,
11,ISOLIQUIRITIGENIN,BRD-K33583600,0.125,0.125,1,VCAP,
12,-666,BRD-K41859756,0.125,0.135,5,EFO27;HA1E;MDST8;SKLU1,
13,chaetocin,BRD-A85860691,0.125,0.1375,2,A375;HCC515,
14,trichostatin A,BRD-A19037878,0.125,0.1375,4,HA1E;HCC515,trichostatin · HDAC抑制剂(神经保护)
15,geldanamycin,BRD-A19500257,0.125,0.14,5,HA1E;HCC515,
16,R406,BRD-K20285085,0.125,0.15,2,A549;SNGM,
17,MITOMYCIN C,BRD-A48237631,0.15,0.15,1,HCC515,
18,HKI-272,BRD-K85606544,0.15,0.15,1,MDST8,
19,S1085,BRD-K17743125,0.15,0.15,1,A549,
20,NVP-AUY922,BRD-K65182930,0.15,0.15,1,HA1E,
21,PD-184352,BRD-K05104363,0.15,0.15,1,HEPG2,
22,NVP-TAE684,BRD-K50140147,0.15,0.15,1,BT20,
23,canertinib,BRD-K50168500,0.15,0.15,1,BT20,
24,dasatinib,BRD-K49328571,0.15,0.15,2,HT29;PC3,
25,pracinostat,BRD-K86797399,0.15,0.15,1,A549,
26,GSK-1070916,BRD-K36740062,0.15,0.15,1,HA1E,
27,L5288-1MG,BRD-A19248578,0.175,0.175,1,A549,
28,XMD16-144,BRD-U64521890,0.175,0.175,1,A549,
29,CGP-60474,BRD-K79090631,0.175,0.175,1,HME1,
30,KIN001-043,BRD-K44100512,0.175,0.175,2,HME1;HS578T,
